task_code,phraseid_1,phrase_1,phraseid_2,phrase_2,phraseid_3,phrase_3,phraseid_4,phrase_4,phraseid_5,phrase_5,phraseid_6,phrase_6,phraseid_7,phrase_7,phraseid_8,phrase_8,phraseid_9,phrase_9,phraseid_10,phrase_10,phraseid_11,phrase_11,phraseid_12,phrase_12,phraseid_13,phrase_13,phraseid_14,phrase_14,phraseid_15,phrase_15,phraseid_16,phrase_16,phraseid_17,phrase_17,phraseid_18,phrase_18,phraseid_19,phrase_19,phraseid_20,phrase_20
sentiment,2585,bent still,658,available and,1433,so the,2085,Liked enough,3048,not flashy,760,the is just,1662,n't better,306,'s worst,362,not sensitive,1438,work Best,549,Keen,492,at The,1121,Fit great,682,breaking,2195,DEFINATELY NOT,2790,was hesitant,2182,was really disappointed,2357,just like,2435,the dark,2733,pretty and
sentiment,509,was not,2106,flimsy cheap,1659,'m highly upset,587,bust definitely,148,Really hassle,1593,fruitlessly wasted,302,the was very,2831,Also lies,1094,improved,1190,are durable and great,457,were Lucky,2408,import,2571,likes and,2755,warm like,2199,are even worth,1736,well comfortable,1640,top,2959,especially like,2473,right for,2828,totally satisfied
sentiment,1090,are so flattering,2236,wonderful,1574,not how,2241,is problem,2545,RETURN,1268,was way,1345,great for,1600,so atrocious,775,daily So,3120,LOVE,1041,lose the,2224,scratch,1516,are bulky,1261,were joke,669,mostly too,105,really love,525,n't great,662,still small,1624,satisfy,2793,more like
sentiment,1323,immediately The,1979,n't bad,761,also really,1253,fancy !,2311,Just like,1970,sorely disappointed,81,great love,637,oversize,2497,just right,1023,disappointed When,450,'re not flashy,949,just always,2134,The wrongly,644,Did n't,434,being drab,937,fairly,606,'s as,498,smooth,2847,never breaks,1735,Gorgeous
sentiment,2239,indifferent,311,the is too,215,'m upset,564,been durable and,523,'s very comfortable,2906,comfortable and better,1133,so unbelievably,2762,better and eager,2020,love well,2001,and strong,2185,the is not,1427,syndrome,1845,is also,2453,nice sexy,780,would not,1354,loves,319,the is so,1829,CHEAP DEFINATELY,545,comfortable well and,566,super cheap
sentiment,840,were stiff and,3135,were perfect,2125,maybe the,1626,poorly and,2738,Love,1741,just slightly,1120,extremely comfortable,657,'s hard,427,is fraudulent,2598,poor and as,2747,fit nicely,1441,very good well,519,glare,1564,n't well,3030,unnatural,3020,be returned,1179,WAY small,2301,be way,3066,'s great and,157,however flawed
sentiment,1513,returned,2375,did not,3069,sack,1756,The were also,2827,misplaced,1966,above Better,1783,even worth,2475,never bad,147,much easier,2391,n't worth the,714,was n't great,2460,cheap and n't,2966,apparently right,1317,been perfect,698,not picky,258,just glad,1772,buried,3047,sexy,227,were comfortable and,88,incredibly soft
sentiment,2780,the trick,3111,as soon,1234,best,598,so soft flexible,979,when around,1505,been worn and,108,Hate the,1577,back Liked,689,discomfort,2176,Not happy,1359,scratch bust,629,hard maybe,2419,support day,1898,is probably best,719,are great,1209,is worst,594,are fairly and,1862,not enough support,448,n't fully,2766,are invisible
sentiment,798,Slow,1798,very just,2865,hard,2837,strangest the,1079,is nightmare,1739,'s very bulky,1125,correct time,579,n't exactly,206,fit perfect,3036,'s obviously expensive,1922,The is much,1017,the indifferent,3044,so tight,1831,is variety and,2381,loved roomy,2051,too The,1803,nt even,909,good and,3027,definitely recommend,1038,very poorly
sentiment,298,so bad,331,perfect weight,1299,was just like,462,poorly and just,690,The is odd,734,There really,1752,is comfortable and,288,great !,404,is uncomfortable and,1572,enough for,201,'re very,3014,'m still upset,1656,well and so,2308,are n't bad,976,Cute Comfy,1916,the are n't,1573,the be too,2544,and gold,857,instead where,2633,horrible the
sentiment,1309,The is probably,1347,ever Thus,2250,complain,1230,is beautiful,2815,unbelievably well,1110,safe and like,2722,back The,2137,is thicker,3006,so sometimes,197,losing,1208,right but,1304,the worn,497,was pretty cheap,511,Worst ever,2168,was wrong,929,not attractive,844,so warned,591,convenience comfort,409,great great,2045,sort defeats
sentiment,1719,are too,52,not more,1329,much more,2268,JUNK FAILED,1424,too difficult,2617,work but,2376,COMFORTABLE AND VERY,961,is awesome comfortable,1245,was n't difficult,100,comfy and well,2974,Disappointed,3045,fell apart,2576,was amazing,638,literally like,862,and useful,2863,mistake The,811,Nice,135,not recommend,1255,when buckle,1442,be small
sentiment,2808,pushing,905,VERY WELL,540,nicely as,2444,tops but,679,flawed the,3082,nice,341,Otherwise beautiful,1576,'m not,2568,'s pretty,607,cheaply,1737,The is really,3084,are n't,2230,right back,2675,was so disappointed,67,nice and smooth,2025,the are too,2270,loving,1960,randomly,1215,actually like,2136,is odd and
sentiment,394,worth time,649,'s very pretty,2276,almost invisible,1621,The was really,2099,are also,1774,the is stuck,826,is super nice,2259,sturdy cute,385,the was more,383,shipped,887,the awful,369,'m not thrilled,2271,comfy and stylish,3121,bulky,3016,winner!Really nice,1578,is unbelievable,2323,too also,567,strong easy,1807,great bag,1267,loved
sentiment,2482,am sorely disappointed,2867,warned,1181,certainly comfortable,921,hurt extremely,1076,was willing,1949,was weird,955,wrong and,1288,'re as,464,right away,850,is very,2457,easily how,307,super and roomy,2682,well and good,2710,Great and,522,ordered,1036,nt Waste,752,bad and really,2126,were cold and,1269,was cheap,2520,the is seriously
sentiment,2095,be safe,503,attractive,2036,The is just,3128,very not,2377,how cheap,1326,was WAY,443,lumpy the,842,Very comfortable,493,is n't fault,2273,am very disappointed,534,and thrilled,551,awful,243,loved but,839,the was indifferent,2462,am hard,2014,cold,1289,n't hot,2904,well love,345,is very inexpensive,1007,positive !
sentiment,453,soft for,908,Comfortable,480,worthless The,2221,is so,2654,"not found,&#34",3133,was available,2845,The are bothersome,876,securely,159,am very,779,IS NOT,269,free,326,beautifully well and,1707,still the,2304,super cute Perfect,1162,is not adjustable,799,are super comfortable,2432,great The,2538,The tank,2080,Sent,2501,were already
sentiment,357,was so bad,1035,the falling,2228,work perfect,2714,fits well,1805,sore,759,just the,848,wise,895,variety and very,1830,is generally uncomfortable,2388,plenty enough,3088,support and comfort,102,ideal for,183,are n't consistent,2550,the are really,1536,is picky,2707,Pretty for,2689,good !,2396,and decent,419,safe,2875,comfortable but
sentiment,1613,not work top,161,is adorable,1428,n't when,2079,scratchy somewhat,2401,perfect loves,358,the hard,2389,The were already,63,great and comfortable,2692,so far,268,very picky,395,is way hot,2283,Gold and,2132,not hard,2247,be worn,2156,cheap not,1637,comfortable and useful,1878,are way,568,just comfortable,1395,and gorgeous,2674,are at important
sentiment,2602,fraudulent,1399,less expensive,776,Far away,920,and easy,2018,just all,1526,pleased,1176,was so disappointing,112,best and,3019,been very happy,117,champion,896,just cheap,278,'re skinny and,2514,way too,2956,fits perfect,3113,definitely NOT,816,The cheap,1259,n't So,7,properly and,249,the killer,405,hurt at
sentiment,2410,supportive,2772,were even,2007,'m pleased,2949,are so awkward,1986,is well worth,578,was absolutely,1646,not that,1058,invisible,1159,convenience and,1470,are stiff,378,is difficult,1747,DO NOT,1837,always the,1453,much straightforward,373,cold when,2298,dark,2392,impressed value,2978,and stylish,998,are good,2186,right the
sentiment,4,poorly and n't,1142,Sadly,2720,Cute,2133,worth,2069,Great for,2561,awful and,138,are comfortable and well,2893,pretty good,2394,really cold,2491,is just boring,1188,long The,2734,inexpensive and likes,768,now super comfortable,324,was extremely,1057,n't as,2454,was shriek,2996,Works !,1759,and better,1018,is scratch,2650,daily the
sentiment,2290,horrible,575,are only enough,2843,shiny and n't,429,be issues,2243,be returning,3,sagging muffin,2307,is not attractive,1643,the is still,141,Just great,3023,lose,2986,simply properly,2006,uncomfortable,2659,is really uncomfortable,1116,am so thrilled,335,the stuck,910,is perfect and like,2397,back right,2667,are bulky and,856,is comfortable,2200,happy time
sentiment,2495,Definitely work,1331,probably the,79,awful the,119,m glad,673,'s not worth,620,BROKE ALREADY,902,is very well,1933,and spectacular,2303,were inexpensive and likes,754,nice smooth,1838,well and,1511,well !,2587,durable and comfortable,2254,always great,224,lost about,2864,be too,2344,is still,1512,'s soft,743,'m really happy,2412,still itchy
