task_code,patternid_1,group_1,patternid_2,group_2,patternid_3,group_3,patternid_4,group_4,patternid_5,group_5,patternid_6,group_6,patternid_7,group_7,patternid_8,group_8,patternid_9,group_9,patternid_10,group_10
spam,49,Hahaha .. brain; Nyt . 3lp; S.I.M. . Call; Atlanta . guys; January .. holiday,98,. Offer; . torch; . Text; . what; . wan,51,txt NOK; ideal Christmas; my World:-; your Merry; our Â£250,40,ansr to; self to; MUSIC to; Iâ€˜m to; Text to,66,Caller 02/06/03 !; Goal 4 (; LE 61200 (; mei ex ...; GUARANTEED 09064012160 .,74,about 1 .; to 7 .; down 2 !; for one ?; from 21870000>Hi -,11,1-u r; 7.30 .; 4 ?; 9 .; 500 -,82,! 09061221066; ! 4; ! 800; ! 09061213237,68,call 09050002311 b4280703; call 09061221061 landline; call 08712460324 10p; Call 09050003091 land; Call 4 chat,65,John John is; Ringtone Club Gr8; K wat s; Bluetooth Headset reply; T&Cs www.tkls.com stoptxtstopÂ£1.50/week
spam,83,". to 87121; "" to 89123; . to 69696; ? to 82277; ! to 85023",34,Free; FREE; free,76,reply; account; message; reward,57,get Yours Now!4; offers T Cs; AM GAS STATION; DETAILS WENWECAN CHAT; mins Half Price,19,six for; 2nite Chat; 4 of; 5 per; 2 in,25,CALL as; ASAP so; Sinco as; Bonus on; Kaiez ur,81,87066 Ts&Cs www; 09058099801 b4190604 7876150ppm; 150p Msg rcvd; 2 CANCEL TEXT; 08448350055 BT line,31,", eg 18; . Call 08715203649; . wan 2; ; dollars 2years; . Call 08715203685",78,? to; . to; . To; u na,77,service reply; price Latest; blessings morning; prize claim; Ringtone Reply
spam,61,. Txt Tone; . HG Suite342/2Lands; . Iraq afghanistan; . SAE T&Cs; . Usher Britney,26,"M227XY . 150ppm; Callers . 9; GUARANTEED . 09050003091; GUARANTEED . 09050001808; Ltd , 1327",44,. LIFE; . MobileUpd8; . Sir; . CHAT; . Ttyl,14,. 08000839402; . 16; . 0845; . 150ppm,7,25p Moon; 86688 150p; 21/m Aberdeen; 2003 Account,20,little 9; Your 4; Urgent 09066350750; my 2; mrt one,59,Identifier 48922; entry 121; Identifier 42478; Identifier 45239; reply 4info,79,prize,6,on 2; on 4.47per; to 864233; to 87066; for 12,30,Call 09071517866 !; Call 08715203028 .; call 087104711148 !; call 09053750005 .; call 09061209465 !
spam,87,. 3030 .; . 08712400200 .; ! 150p .; ! 2MRW ?; - 3 .,3,: 08718726270; . 4; . 9; ? 750; ! 2003,84,""" ENUFCREDEIT TOCALL.SHALL ILEAVE; - S. I. M.; . HG Suite342/2Lands Row; ! TC LLC NY; : GHOST ADDAMSFA MUNSTERS",93,GUARANTEED call; GUARANTEED Call; M. Call; Txt CALL; S.I.M. Call,52,"12:30 , hope; 7 . jay; 08719839835 . mgs; 4 . Cos; 09061209465 ! C",39,claim,55,won Â£800; Great News; awarded SiPix; Lover Dear1; Beautiful Truth,17,"! Ttyl; . Mark; ? MISSED; . Sprint; "" I;m",53,won; win; WIN,89,Jus avatar nigro; Nokia video camera; Luck removal send; Evrey splleing tihs; Txt club name
spam,33,-msg; +; /,45,K718 .; I. .; Sinco .; T .; da .,29,T&Cs SMS 08718727868; Txt ENTRY 69888; Txt charity 8007; da car 6; Box M227XY 16,23,Bcoz Teacher lesson; Â£200 Prize Text; Great News Call; DEF UP4 SOMETHING; GOD ASKED What,37,". Tones 3GBP; . Text 87121; . CHAT 86688; "" POLYS 87131; , GIRL 18",41,Mobile; mobile; mobiles,38,message call; minute Call; voicemail call; Ã¼ call; flowers call,36,? 350 award; ! 4T&Ctxt TC; . 1/2 price; . 09061701939 Claim; . 150p tone,92,call in.our; call 09056242159; call 09061213237; call 08707509020; call 08718711108,28,Txt; txt
spam,50,to 87066 .; to 69888 !; to 84199 .; to 09050000555 .; to 61200 (,2,MobilesDirect 08000938767; MAT 87021; Buy 4; No1 4,43,!,63,the ENGLAND; the Accident; a Secret; a Reflection; a MINI,9,to 85023; to 88600; to 80082; to Â£1000; to 87066,4,Tenerife Holiday; Uâ€ ™; Easy ah?sen; JD Customer; SiPix Digital,42,what to; days to; place to; minutes to; day to,46,week Triple Echo; winner Guaranteed Caller; call09050000327 T&C RSTM; World God Laughed; landline SAE Box326,15,08000407165 18; 2day 09099726395; 0871 4719; 08707509020 20p; 80488 www.80488.biz,100,". 18 T&C; . 526 SW73SS; . 36504 W45WQ; ! 2003 Account; , 1327 Croydon"
spam,72,cos; on; that; in,12,dat str 2; pounds week 08000776320; dice art 6; cust care 08712405020; www.music-trivia.net custcare 08715705022,73,Buy Space Invaders 4; SAE T&Cs PO 434; Mobile Update Co 08002986030; SAE T&Cs Box 326; WK Txt STORE 88039.SkilGme,95,CALL 09058099801 b4190604; Call 08000930705 del; TXT 80160 T&C; ABTA 4 Tenerife; NOW!REPLY 2 June,8,admirer REVEAL; What sunday; love Mind; FONE DAMMIT; apply Opt,1,3; one; 62220Cncl; three; 0800,5,call 08709222922; Call 09050003091; Call 8000930705; Call 0800,94,call once; CALL FROM; call in; Call from; Call Upd8,13,U TEX MECAUSE; Rodger Burns MSG; GOT EXAMS MARCH; New Nokia Colour; S. I. M.,67,- on 09065171142-stopsms-08; . at six; : to 80608; ? to 82277; . For 1
spam,88,to,32,are you?how; payed Suganya; spoke MANEESHA; love U; WILL SIR,85,BIDS 10; ENTRY 69888; Offer 14thMarch; call 09058094599; offers 08000839402,16,call; Call,27,100 Call; 2 watch; 83110 see; 69988 get; 11mths+ are,91,"2 ! 08081560665; 1146 ( 2/3; 750 . 2; 08715705022 , 1x150p",69,TO TAMPA; in da; in English; with Halloween; to Â£3,24,Mobile Upd8 08000839402; Price for 12; Txt to 69888; MIX to 85069,71,cash; rates,97,"21/m Aberdeen ,; 2 Jada .; 750 Pound .; 69696 Nyt .; 2 BAHAMAS !"
spam,99,juz tt; u for; Itâ€˜s in; name of; hundreds of,22,"Goodnight !; fr ?; Uncle ,; Kidz ,; Msg .",62,to,10,Jay; Videophones; AG; Haha; Thk,96,"Titles GHOST ,; min BT -; SLEEP SWEET ..; prize GUARANTEED .",64,Space 4 chance; GUARANTEED 09061790121 land; CAREFUL 2 U; Pie 8 minutes; Gd 4 exams,60,"english . Salary; Reason , U; Guai ... Ãœ; StdTxtRate . Reply; Loyalty : NEW",70,Queries to; Hlp to; CASH To; Â£800 to; MAD2 to,48,Fantasy Football on; Account Statement for; New Mobiles from; U. Todays that; ENUFCREDEIT TOCALL.SHALL AT,90,Questions; call; messages; Reply; Message
spam,86,". html; , HEART; . Y; . what",18,Jesus armand; Fancy time; Holiday cash; Yun wkg; Txt club,58,. Call 09050003091; . Call 09050090044; . Call 09061701939; . Call 4; . Call 08719899229,21,", B'day Boss; . SP Tyrone; ! TASTS LUSH; .. GM GN; ... Gud mrng:-",47,call tomorrow Iam; JOBYET SAUSAGE?LOVE JEN; messages matches cc100p; member mobile T; voice process english,56,"phone DeliveredTomorrow 300; TCs SAE 150ppm; code XXXXX 26.03.05; mobile T 08717898035; wife Police 2,Police",75,e details; gold chain; bathroom sup; baby girl; face test,35,4 . Aiya; 24 . ACL03530150PM; 09050002311 . T&Cs; 4 . Fancy; 2 ) Dictionary,54,2 my; 82277 Â£1.50; 1 special; 2 His; 2mrw luv,80,UR - call; da . call; SiPix ! call; Free ! Call
