task_code,phraseid_1,phrase_1,phraseid_2,phrase_2,phraseid_3,phrase_3,phraseid_4,phrase_4,phraseid_5,phrase_5,phraseid_6,phrase_6,phraseid_7,phrase_7,phraseid_8,phrase_8,phraseid_9,phrase_9,phraseid_10,phrase_10,phraseid_11,phrase_11,phraseid_12,phrase_12,phraseid_13,phrase_13,phraseid_14,phrase_14,phraseid_15,phrase_15,phraseid_16,phrase_16,phraseid_17,phrase_17,phraseid_18,phrase_18,phraseid_19,phrase_19,phraseid_20,phrase_20
spam,922,on 02/06/03 !,368,Call on,255,call 09066362231,2674,wml?id=820554ad0a1705572711&first trueÂ¡C C,2645,tickets cos,182,night r 4,1542,smeone to,502,what Vegas,2616,HI UAWAKE?FEELLIKW,2020,SiPix Digital,2432,630,243,FLAG 84199 !,2874,Xmas prize 2,1552,do Ta,2083,May 2005 .,890,Nickey Platt,1455,* kiss,2539,footprints to,1559,. friend,27,4 . Chef
spam,2623,Mobiles from 2004,1128,na,2475,times job,1424,", IÂ’L CALL",635,DAYS AGO.CUSOON,2340,time of,766,3hrs 16,960,text TONE FLAG,646,eyes in,1613,Yo,2274,ringtone flag,2271,PSXTRA PORTIONS ME,2093,. 09050090044 toClaim,637,Sac,2857,Gud Ni8;- ),2237,. P.,1940,TheDailyDraw Dear,1394,""" GRAN",2506,... wind,1010,INDIA CUST SED
spam,2941,Den chiong,2521,! Txt 86688,2413,ten ....,1754,NEFT reference,1956,2 Â£100,193,landline Delivery,1592,08701237397 must,2121,Fancy flirt Reply,1776,... Fuck,1428,Alwys Touch,1873,jus use,231,TAROT,140,.... Gud,1152,Update_Now,1800,3 WANT,115,Detroit .,802,about,2320,Hmm,1396,better tho,443,maga money
spam,60,tho,149,09065394973,2955,prize,1825,SiPix Digital call,1540,. Txt LOVE NAME1,2073,May Text FA,823,os to,1716,u jus,2388,matter mind,369,ME UR NETHING,1481,pc mom,1782,Moby Pub,2054,Matrix3 StarWars3,2741,my Kids,2079,2go.did,2341,930 ?,148,Den,525,tel ur,827,yo ?,2170,Aiyah 2 u
spam,1055,dat into,2520,yr To,1249,2 e sim,87,Cheers for,1221,Although,188,had Nickey Platt,2342,vouchers entry,2952,What pin,333,rooms activities,2139,2 BAHAMAS,1028,. 2optout,215,game to,2814,Txt to,1504,OURBACKS FUCKINNICE!SELFISH,500,LIFT U TOMORROW,582,gettin gossip,822,to 62468,1127,everybody to,2213,Dear Helen,745,GUARANTEED Call
spam,304,reward of,1935,tons if,1919,e sim,920,Free Camcorder call,795,. 09050090044,106,. ans,1742,1 many,1794,movies in,1036,on wednesday,1415,150p Polo,187,Text to 87121,2808,Thanx,2849,fact,866,cinema pass 2,632,within 5,1204,at 930,2494,HI BABE SHIT.JUSTFOUND,380,at 930 ?,2710,130,527,.. Ya
spam,2648,* Costa Del Sol,2799,time r,1866,end march,703,Â– FUCKINNICE!SELFISH,1104,a City,1258,CU 4BREKKIE !,2451,thing on,2138,offers T,2143,. month,650,""" ni8",1437,kiss from,1719,Gumby,576,Xmas 2 claim,1457,! 4,2269,Nvm,470,16 TsandCs,613,cine lor,1069,Identifier : Expires,1721,help Ashley,2783,. 3 Lover
spam,2053,wednesday,879,call after,1374,words,1351,prize GUARANTEED 09058094454,1334,. Txt STORE,2036,planned yo,1908,Ashley,1843,2003 for,895,. Reply YES-910 NO-910,57,008704050406,658,Free 2,784,UR,1472,- DOUBLE Mins DOUBLE,1602,Ten special,2097,4u,2420,AMY,2147,ASKED IF 0870,379,until 4,2233,Mind without,937,call 2optout D3WV
spam,1502,"Randy ,",1461,call 08718726978,2962,Nothing problem:-,715,obese Oyea,2077,at Holby,2848,.. Imprtant,1355,sister from,915,rubber place,2004,. Identifier,286,fine,2858,. PSXTRA,2336,! Somebody,1536,", text",2419,SATTHEN HUNNY LOVE,2091,contact Txt CHAT,2166,Fancy chat flirt,2307,Musta on,2774,noun u,2963,lunch today,1288,... lot
spam,1131,With Cheer,1974,will hundred.he,156,texts Free Camcorder,701,Ãœ until,2528,ONLYFOUND AFEW,694,Darren,2140,edward Behind,875,thinks UR,2008,that 2waxsto,2820,- on 09058094597,1906,want New Nokia,1147,2 Mark .,1967,Account Statement,1305,hills shit,783,Opt -,462,Voila Money,2208,LOOK AMY URE,426,. Tis IAS,200,2 spell,1465,e mode
