,eidx,aidx,pattern,phrase,TQBAFc_level,TQBAFc_base_score,TQBAFc_class,TQBAFc_strength,TQBAFc'_base_score,TQBAFc'_class,TQBAFc'_strength,BQBAFc_level,BQBAFc_base_score,BQBAFc_class,BQBAFc_strength,BQBAFc'_base_score,BQBAFc'_class,BQBAFc'_strength
73,5,1,[['SPACY:POS-NUM']],2,1,1.182645880085895,Positive,1.5056165812987574,1.182645880085895,Positive,1.5056165812987574,2,1.182645880085895,Positive,1.182645880085895,1.182645880085895,Positive,1.182645880085895
74,5,3,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NUM']]",u 2,2,0.6131063978076532,Positive,0.6131063978076532,0.6131063978076532,Positive,0.6131063978076532,1,0.6131063978076532,Positive,1.2044293378506006,0.6131063978076532,Positive,1.2044293378506006
75,5,27,"[['SPACY:POS-NUM'], ['SPACY:POS-VERB']]",2 come,2,0.2901356965947908,Negative,0.2901356965947908,0.2901356965947908,Negative,0.2901356965947908,1,0.2901356965947908,Negative,-0.30118724344815667,-0.2901356965947908,Positive,0.30118724344815667
124,11,72,[['SPACY:POS-ADP']],of,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396,1,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
131,13,42,"[['SPACY:POS-NOUN'], ['LEMMA:to']]",cause to,2,0.3680294909165491,Positive,0.3680294909165491,0.3680294909165491,Positive,0.3680294909165491,1,0.3680294909165491,Positive,0.19894308782507314,0.3680294909165491,Positive,0.19894308782507314
132,13,75,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",imma cause,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021
133,13,88,[['LEMMA:to']],to,1,0.16908640309147593,Negative,-0.19894308782507314,-0.16908640309147593,Positive,0.19894308782507314,2,0.16908640309147593,Negative,0.16908640309147593,0.16908640309147593,Negative,0.16908640309147593
138,15,8,"[['SPACY:POS-NOUN'], ['SPACY:POS-PROPN']]",story Man,2,0.0678297442936125,Negative,0.11634543957095067,0.0678297442936125,Negative,0.11634543957095067,2,0.0678297442936125,Negative,-0.0641043844412393,-0.0678297442936125,Positive,0.0641043844412393
139,15,10,[['SPACY:POS-PROPN']],Man,1,0.9235389011439626,Positive,0.6143539252081449,0.9235389011439626,Positive,0.6143539252081449,3,0.9235389011439626,Positive,0.9235389011439626,0.9235389011439626,Positive,0.9235389011439626
140,15,18,"[['SPACY:POS-PROPN'], ['SPACY:POS-NOUN']]",Man week,2,0.18930163936975522,Positive,0.18930163936975522,0.18930163936975522,Positive,0.18930163936975522,1,0.18930163936975522,Positive,0.321235768104607,0.18930163936975522,Positive,0.321235768104607
141,15,22,"[['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT']]",Man -,2,0.4994166021573368,Negative,0.05198126876990006,0.4994166021573368,Negative,0.05198126876990006,2,0.4994166021573368,Negative,0.36748247342248497,0.4994166021573368,Negative,0.36748247342248497
142,15,32,"[['SPACY:POS-VERB'], ['SPACY:POS-PROPN']]",did Kids,2,0.4947560564720762,Negative,0.4947560564720762,0.4947560564720762,Negative,0.4947560564720762,1,0.4947560564720762,Negative,0.36282192773722444,0.4947560564720762,Negative,0.36282192773722444
143,15,45,"[['SPACY:POS-PROPN'], ['LEMMA:.']]",Kids .,3,0.310589607052116,Positive,0.310589607052116,0.310589607052116,Positive,0.310589607052116,1,0.310589607052116,Positive,0.18809544924462102,0.310589607052116,Positive,0.18809544924462102
144,15,49,"[['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]",Man - week,3,0.37072284322531784,Positive,0.37072284322531784,0.37072284322531784,Positive,0.37072284322531784,1,0.37072284322531784,Positive,-0.020208414340993852,-0.37072284322531784,Negative,0.020208414340993852
145,15,51,"[['SPACY:POS-ADJ'], ['SPACY:POS-PROPN']]",my Kids,2,0.20931598938896842,Positive,0.20931598938896842,0.20931598938896842,Positive,0.20931598938896842,1,0.20931598938896842,Positive,0.3412501181238202,0.20931598938896842,Positive,0.3412501181238202
146,15,62,"[['LEMMA:to', 'SPACY:POS-ADP']]",to,2,0.5199640501080655,Negative,0.5199640501080655,0.5199640501080655,Negative,0.5199640501080655,1,0.5199640501080655,Negative,0.47364573009759026,0.5199640501080655,Negative,0.47364573009759026
147,15,63,"[['SPACY:POS-DET'], ['SPACY:POS-PROPN']]",a Man,2,0.06018057410749461,Positive,0.06018057410749461,0.06018057410749461,Positive,0.06018057410749461,1,0.06018057410749461,Positive,0.1921147028423464,0.06018057410749461,Positive,0.1921147028423464
148,15,69,"[['SPACY:POS-ADP'], ['SPACY:POS-PROPN']]",of Man,2,0.20980082797821806,Negative,0.20980082797821806,0.20980082797821806,Negative,0.20980082797821806,1,0.20980082797821806,Negative,-0.05299482231284694,-0.20980082797821806,Positive,0.05299482231284694
149,15,72,[['SPACY:POS-ADP']],of,1,0.3925845646686396,Positive,0.34360238715610714,0.3925845646686396,Positive,0.34360238715610714,2,0.3925845646686396,Positive,0.3925845646686396,0.3925845646686396,Positive,0.3925845646686396
150,15,75,"[['SPACY:POS-NOUN'], ['SPACY:POS-NOUN']]",week b'day,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021,1,0.2856289210627021,Positive,0.2856289210627021,0.2856289210627021,Positive,0.2856289210627021
151,15,78,"[['SPACY:POS-PUNCT'], ['LEMMA:to']]",. to,2,0.5666891212015219,Positive,0.5666891212015219,0.5666891212015219,Positive,0.5666891212015219,1,0.5666891212015219,Positive,0.48214591965578396,0.5666891212015219,Positive,0.48214591965578396
152,15,86,"[['SPACY:POS-PUNCT'], ['SPACY:POS-NOUN']]",- week,1,0.5368741995176334,Negative,-0.026459765714831218,-0.5368741995176334,Positive,0.026459765714831218,2,0.5368741995176334,Negative,0.5368741995176334,0.5368741995176334,Negative,0.5368741995176334
153,15,88,[['LEMMA:to']],to,1,0.16908640309147593,Negative,-0.13762069305601327,-0.16908640309147593,Positive,0.13762069305601327,2,0.16908640309147593,Negative,0.16908640309147593,0.16908640309147593,Negative,0.16908640309147593
154,15,96,"[['SPACY:POS-NOUN'], ['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT']]",story Man -,3,0.09703139055467631,Negative,0.09703139055467631,0.09703139055467631,Negative,0.09703139055467631,1,0.09703139055467631,Negative,0.15542116392093203,0.09703139055467631,Negative,0.15542116392093203
155,15,98,"[['LEMMA:.'], ['SPACY:POS-NOUN']]",. Wife,2,0.37797254361980565,Positive,0.37797254361980565,0.37797254361980565,Positive,0.37797254361980565,1,0.37797254361980565,Positive,0.10953544386098896,0.37797254361980565,Positive,0.10953544386098896
156,15,99,"[['SPACY:POS-NOUN'], ['SPACY:POS-ADP']]",story of,2,0.3159002615306093,Positive,0.3159002615306093,0.3159002615306093,Positive,0.3159002615306093,1,0.3159002615306093,Positive,0.44676178308682246,0.3159002615306093,Positive,0.44676178308682246
158,16,4,"[['SPACY:POS-PROPN'], ['SPACY:POS-PROPN']]",Netcollex Ltd,2,1.0984470320493276,Positive,1.1158871439960514,1.0984470320493276,Positive,1.1158871439960514,2,1.0984470320493276,Positive,1.2138893946923228,1.0984470320493276,Positive,1.2138893946923228
159,16,10,[['SPACY:POS-PROPN']],FreeMsg,1,0.9235389011439626,Positive,0.7970224386789038,0.9235389011439626,Positive,0.7970224386789038,3,0.9235389011439626,Positive,0.9235389011439626,0.9235389011439626,Positive,0.9235389011439626
160,16,17,"[['SPACY:POS-PUNCT'], ['SPACY:POS-PROPN']]",? Randy,2,0.5654686971195718,Negative,0.5654686971195718,0.5654686971195718,Negative,0.5654686971195718,1,0.5654686971195718,Negative,0.4500263344765765,0.5654686971195718,Negative,0.4500263344765765
161,16,18,"[['SPACY:POS-PROPN'], ['SPACY:POS-NOUN']]",Netcollex 08700621170150p,2,0.18930163936975522,Positive,0.5406536150138809,0.18930163936975522,Positive,0.5406536150138809,2,0.18930163936975522,Positive,0.30474400201275054,0.18930163936975522,Positive,0.30474400201275054
162,16,22,"[['SPACY:POS-PROPN'], ['SPACY:POS-PUNCT']]","Randy ,",2,0.4994166021573368,Negative,0.4994166021573368,0.4994166021573368,Negative,0.4994166021573368,1,0.4994166021573368,Negative,0.38397423951434145,0.4994166021573368,Negative,0.38397423951434145
163,16,23,"[['SPACY:POS-PROPN'], ['SPACY:POS-PROPN'], ['SPACY:POS-NOUN']]",Netcollex Ltd 08700621170150p,3,0.5279140537707697,Positive,0.5279140537707697,0.5279140537707697,Positive,0.5279140537707697,1,0.5279140537707697,Positive,1.0849158530079193,0.5279140537707697,Positive,1.0849158530079193
164,16,25,"[['SPACY:POS-PROPN'], ['SPACY:POS-ADP']]",Netcollex per,2,0.28346900645745804,Negative,0.40430896054050647,0.28346900645745804,Negative,0.40430896054050647,2,0.28346900645745804,Negative,0.0698805026473028,0.28346900645745804,Negative,0.0698805026473028
165,16,32,"[['SPACY:POS-VERB'], ['SPACY:POS-PROPN']]",'m Randy,2,0.4947560564720762,Negative,0.6204330173276887,0.4947560564720762,Negative,0.6204330173276887,2,0.4947560564720762,Negative,0.37931369382908087,0.4947560564720762,Negative,0.37931369382908087
166,16,42,"[['SPACY:POS-NOUN'], ['LEMMA:to']]",Luv to,2,0.3680294909165491,Positive,0.3680294909165491,0.3680294909165491,Positive,0.3680294909165491,1,0.3680294909165491,Positive,0.31166735655272376,0.3680294909165491,Positive,0.31166735655272376
167,16,48,"[['SPACY:POS-PROPN'], ['SPACY:POS-PROPN'], ['SPACY:POS-ADP']]",Netcollex Ltd per,3,0.24167990816609686,Negative,0.24167990816609686,0.24167990816609686,Negative,0.24167990816609686,1,0.24167990816609686,Negative,-0.09306938741737458,-0.24167990816609686,Positive,0.09306938741737461
168,16,51,"[['SPACY:POS-ADJ'], ['SPACY:POS-PROPN']]",u. Netcollex,2,0.20931598938896842,Positive,0.20931598938896842,0.20931598938896842,Positive,0.20931598938896842,1,0.20931598938896842,Positive,0.32475835203196374,0.20931598938896842,Positive,0.32475835203196374
