,y_true,y_pred,default_final_strength,predicted_prob,num_args,num_rels,num_rels_not_flat,num_atts,num_supp,num_pos_args,num_neg_args
0,0,0,1.7614112413981002,0.14661367987331164,11,13,7,6,7,5,6
1,1,1,2.6551399747903206,0.9343270842404344,8,9,4,1,8,7,1
2,0,1,1.0581753720364677,0.7423417021503338,25,34,20,8,26,12,13
3,1,1,4.515172912077886,0.9891767122989189,17,24,13,3,21,14,3
4,0,0,0.9838932667252193,0.2721199578590655,6,6,2,1,5,1,5
5,0,0,3.7760435316985412,0.02239991455011281,25,35,22,6,29,7,18
6,0,1,0.459614446633933,0.6129227081796663,8,8,3,3,5,4,4
7,1,1,0.17308518068583534,0.5431635893119071,14,17,9,5,12,9,5
8,1,1,0.3893531163063737,0.5961269655226782,12,13,8,3,10,7,5
9,1,0,4.864028954670366,0.007660188910994625,17,19,10,3,16,4,13
10,1,0,1.7904524667235304,0.14301725869728255,6,5,2,0,5,0,6
11,1,0,1.5828873800913534,0.1703869472036158,26,38,25,8,30,10,16
12,1,1,1.1878824600302216,0.7663621299954523,14,20,15,3,17,11,3
13,1,0,0.6459369305778553,0.3439057239508152,16,18,7,5,13,5,11
14,0,0,2.6001872709226035,0.06912636887772494,19,26,16,4,22,5,14
15,1,1,3.4045226993583695,0.9678455822218344,22,29,18,5,24,13,9
16,0,0,1.2721052111306506,0.21889708765669302,17,22,13,3,19,4,13
17,1,1,2.8249884920219177,0.9440113126991398,21,30,14,7,23,13,8
18,1,1,4.634810717007392,0.9903853936507705,11,16,11,0,16,11,0
19,0,1,0.3443066681719904,0.585236283335429,10,12,7,3,9,5,5
20,0,1,0.8067068192989713,0.6914073038430593,15,21,12,6,15,9,6
21,1,1,2.08540190701801,0.8894762038592073,12,15,6,4,11,7,5
22,0,0,1.3665894163949028,0.20317143643214797,10,11,7,1,10,1,9
23,0,0,1.215637896602359,0.22870501063028048,31,48,35,6,42,15,16
24,1,1,0.002482173048150127,0.500620542943431,6,5,2,2,3,3,3
25,1,1,1.1870948392645229,0.7662210759550739,4,3,1,1,2,3,1
26,0,0,2.96445427512448,0.04905779126084531,16,18,8,4,14,3,13
27,0,1,2.4373352391182275,0.9196303544826931,10,11,5,2,9,6,4
28,1,1,1.688052335339018,0.8439678512701403,3,2,1,0,2,3,0
29,1,1,1.2321109414735811,0.7741878248293684,15,19,11,4,15,8,7
30,1,1,2.8166352926432343,0.9435681720876348,8,10,4,1,9,7,1
31,1,1,1.83896377754478,0.8628261091251761,14,19,11,3,16,11,3
32,1,1,1.8467785017965195,0.8637484183236299,16,20,13,5,15,8,8
33,1,1,4.3926462179018975,0.9877831400372644,17,28,18,3,25,15,2
34,1,0,0.6140328680507843,0.351139795981255,5,5,3,0,5,0,5
35,0,0,3.643867874774781,0.025484552785028036,18,22,13,4,18,6,12
36,1,1,2.175837002839963,0.8980585834230194,24,34,19,9,25,12,12
37,1,1,1.6688663572489673,0.8414246186155737,10,12,6,2,10,7,3
38,1,1,2.0959932489174085,0.8905131334282753,10,11,6,3,8,4,6
39,0,0,4.392509305451205,0.012218512278906246,31,47,30,10,37,9,22
40,1,1,0.19254708095464812,0.5479885994788065,14,17,8,7,10,6,8
