,y_true,y_pred,default_final_strength,predicted_prob,num_args,num_rels,num_rels_not_flat,num_atts,num_supp,num_pos_args,num_neg_args
0,0,0,1.7614112413981,0.14661367987331164,11,12,7,6,6,4,7
1,1,1,2.65513997479032,0.9343270842404344,8,7,4,1,6,7,1
2,0,1,1.0581753720364677,0.7423417021503338,25,28,20,8,20,13,12
3,1,1,4.515172912077885,0.9891767122989189,17,17,13,3,14,14,3
4,0,0,0.9838932667252193,0.2721199578590655,6,5,2,1,4,1,5
5,0,0,3.776043531698541,0.02239991455011281,25,29,22,7,22,7,18
6,0,1,0.459614446633933,0.6129227081796663,8,7,3,4,3,5,3
7,1,1,0.17308518068583512,0.5431635893119071,14,15,9,7,8,8,6
8,1,1,0.3893531163063737,0.5961269655226782,12,12,8,5,7,6,6
9,1,0,4.864028954670366,0.007660188910994625,17,19,10,4,15,4,13
10,1,0,1.7904524667235304,0.14301725869728255,6,5,2,0,5,0,6
11,1,0,1.5828873800913525,0.1703869472036158,26,31,25,6,25,10,16
12,1,1,1.1878824600302216,0.7663621299954523,14,17,15,7,10,8,6
13,1,0,0.6459369305778555,0.3439057239508152,16,16,7,6,10,6,10
14,0,0,2.600187270922604,0.06912636887772494,19,22,16,4,18,6,13
15,1,1,3.404522699358368,0.9678455822218344,22,24,18,7,17,13,9
16,0,0,1.2721052111306503,0.21889708765669302,17,19,13,6,13,6,11
17,1,1,2.8249884920219164,0.9440113126991398,21,21,14,6,15,13,8
18,1,1,4.634810717007393,0.9903853936507705,11,12,11,4,8,9,2
19,0,1,0.3443066681719902,0.585236283335429,10,10,7,5,5,6,4
20,0,1,0.8067068192989717,0.6914073038430593,15,17,12,8,9,10,5
21,1,1,2.08540190701801,0.8894762038592073,12,11,6,4,7,7,5
22,0,0,1.3665894163949028,0.20317143643214797,10,11,7,1,10,1,9
23,0,0,1.2156378966023604,0.22870501063028048,31,41,35,12,29,11,20
24,1,1,0.002482173048150127,0.500620542943431,6,5,2,2,3,3,3
25,1,1,1.1870948392645229,0.7662210759550739,4,3,1,1,2,3,1
26,0,0,2.9644542751244796,0.04905779126084531,16,17,8,6,11,5,11
27,0,1,2.4373352391182266,0.9196303544826931,10,10,5,4,6,7,3
28,1,1,1.688052335339018,0.8439678512701403,3,2,1,0,2,3,0
29,1,1,1.232110941473581,0.7741878248293684,15,16,11,8,8,9,6
30,1,1,2.8166352926432348,0.9435681720876348,8,7,4,1,6,7,1
31,1,1,1.8389637775447805,0.8628261091251761,14,15,11,7,8,9,5
32,1,1,1.8467785017965201,0.8637484183236299,16,18,13,6,12,9,7
33,1,1,4.392646217901898,0.9877831400372644,17,20,18,8,12,12,5
34,1,0,0.6140328680507843,0.351139795981255,5,5,3,3,2,2,3
35,0,0,3.643867874774781,0.025484552785028036,18,20,13,4,16,6,12
36,1,1,2.1758370028399625,0.8980585834230194,24,26,19,11,15,14,10
37,1,1,1.6688663572489673,0.8414246186155737,10,9,6,2,7,7,3
38,1,1,2.0959932489174085,0.8905131334282753,10,10,6,5,5,5,5
39,0,0,4.392509305451203,0.012218512278906246,31,37,30,12,25,10,21
40,1,1,0.19254708095464812,0.5479885994788065,14,14,8,6,8,6,8
41,0,0,2.0645784693295837,0.11258757578297296,14,13,7,1,12,2,12
