,y_true,y_pred,default_final_strength,predicted_prob,num_args,num_rels,num_rels_not_flat,num_atts,num_supp,num_pos_args,num_neg_args
0,1,1,1.9858132786816816,0.8792994980395322,15,14,2,4,10,9,6
1,0,0,4.599097977248854,0.009960693213429073,16,15,2,5,10,5,11
2,0,0,1.2174188157438923,0.22839101001722695,10,9,2,5,4,5,5
3,0,1,0.08918196493226249,0.5222807258539972,9,8,1,4,4,4,5
4,0,0,6.197298051383745,0.002030788972150699,18,18,4,6,12,6,12
5,1,1,5.155711435624904,0.9942666842455808,20,24,12,5,19,15,5
6,0,0,2.5735514249635383,0.0708601252740716,13,12,0,6,6,6,7
7,1,1,6.251362356312601,0.9980758834014184,20,23,11,4,19,16,4
8,1,1,1.6565234107121574,0.8397707600953795,12,11,4,3,8,9,3
9,1,1,2.2965476423587976,0.9085907123288118,22,21,8,6,15,15,7
10,1,1,3.4622375018712384,0.9695940009449635,14,15,4,2,13,12,2
11,1,1,4.389597700827245,0.9877462969696563,14,18,11,2,16,12,2
12,0,0,1.0689588072606886,0.2556011406629344,9,8,0,4,4,4,5
13,0,0,1.6301643296033586,0.16380785095884998,19,19,6,7,12,10,9
14,1,1,4.006170439405549,0.9821224531616922,19,23,14,4,19,15,4
15,1,1,2.259335037865383,0.9054527202563417,16,17,8,4,13,11,5
16,1,1,5.153774726694375,0.9942556335683274,29,42,22,16,26,18,11
17,0,0,2.9356304137007316,0.050420069236815745,23,25,10,8,17,11,12
18,0,1,0.40083405072384926,0.5988880332569181,15,14,4,4,10,11,4
19,0,0,4.925753357342324,0.007204968603897299,20,23,9,3,20,4,16
20,0,0,1.9436523552542067,0.12524715535168662,16,17,5,6,11,8,8
21,0,0,2.1800968686018605,0.10155208933670878,15,14,2,6,8,6,9
22,1,0,0.5728509413821573,0.36057924559313514,4,3,2,2,1,2,2
23,1,1,4.934852054754346,0.9928598239342863,16,17,4,4,13,12,4
24,0,1,0.9720008930528126,0.7255181385208761,20,22,6,6,16,14,6
25,0,0,3.199627284850025,0.03917975113651817,22,24,12,6,18,7,15
26,1,0,1.9284754019996067,0.1269194261044705,16,16,7,4,12,6,10
27,0,1,0.4574554180169237,0.6124103572470605,19,23,9,9,14,11,8
28,0,0,3.29530566835283,0.035732584023392966,16,15,2,4,11,5,11
29,1,1,1.8654870066066778,0.865935222380809,30,37,17,11,26,19,11
30,1,1,5.957483525280387,0.9974202598410423,29,37,19,6,31,22,7
31,1,1,4.6312259500008,0.9903511988303088,26,30,17,8,22,17,9
32,1,1,4.742351224621315,0.9913572249813716,17,21,12,2,19,15,2
33,0,0,3.2002232848622496,0.03915732105696845,22,22,6,7,15,10,12
34,1,1,3.8425339513255583,0.9790107855524385,23,30,18,8,22,16,7
35,1,1,4.194006252998061,0.9851384705561193,25,30,14,8,22,19,6
36,1,0,0.8213288743349763,0.30548164958743285,26,32,14,8,24,12,14
37,1,1,0.8997629107066467,0.7109007782656869,7,6,1,2,4,5,2
38,0,0,5.401047565925204,0.0044915866295546225,17,16,1,3,13,3,14
39,1,1,6.374197312358556,0.9982979142161961,28,37,20,9,28,22,6
40,0,0,2.362810462164278,0.08605290052907144,13,12,4,5,7,5,8
41,0,0,6.1492377090908406,0.0021305597471203974,44,55,27,18,37,16,28
42,0,0,1.2634472414306215,0.22038103963940303,25,30,11,12,18,12,13
43,0,0,2.63646336822792,0.06682825024595418,13,13,5,3,10,6,7
