,y_true,y_pred,default_final_strength,predicted_prob,num_args,num_rels,num_rels_not_flat,num_atts,num_supp,num_pos_args,num_neg_args
0,1,1,1.9858132786816816,0.8792994980395322,15,15,2,5,10,9,6
1,0,0,4.599097977248854,0.009960693213429073,16,16,2,5,11,5,11
2,0,0,1.217418815743892,0.22839101001722695,10,10,2,5,5,4,6
3,0,1,0.08918196493226249,0.5222807258539972,9,8,1,4,4,4,5
4,0,0,6.197298051383745,0.002030788972150699,18,18,4,6,12,6,12
5,1,1,5.1557114356249025,0.9942666842455808,20,24,12,7,17,14,6
6,0,0,2.5735514249635383,0.0708601252740716,13,12,0,6,6,6,7
7,1,1,6.251362356312601,0.9980758834014184,20,25,11,3,22,17,3
8,1,1,1.6565234107121574,0.8397707600953795,12,13,4,4,9,9,3
9,1,1,2.2965476423587976,0.9085907123288118,22,25,8,6,19,15,7
10,1,1,3.462237501871239,0.9695940009449635,14,14,4,3,11,11,3
11,1,1,4.389597700827247,0.9877462969696563,14,20,11,1,19,13,1
12,0,0,1.0689588072606886,0.2556011406629344,9,8,0,4,4,4,5
13,0,0,1.6301643296033586,0.16380785095884998,19,19,6,10,9,8,11
14,1,1,4.006170439405548,0.9821224531616922,19,27,14,6,21,15,4
15,1,1,2.2593350378653825,0.9054527202563417,16,19,8,8,11,9,7
16,1,1,5.153774726694374,0.9942556335683274,29,40,22,11,29,18,11
17,0,0,2.935630413700734,0.050420069236815745,23,26,10,10,16,11,12
18,0,1,0.4008340507238488,0.5988880332569181,15,16,4,7,9,9,6
19,0,0,4.925753357342325,0.007204968603897299,20,21,9,4,17,3,17
20,0,0,1.9436523552542067,0.12524715535168662,16,16,5,6,10,7,9
21,0,0,2.1800968686018605,0.10155208933670878,15,15,2,8,7,7,8
22,1,0,0.5728509413821573,0.36057924559313514,4,4,2,2,2,1,3
23,1,1,4.934852054754346,0.9928598239342863,16,16,4,4,12,12,4
24,0,1,0.9720008930528112,0.7255181385208761,20,21,6,9,12,12,8
25,0,0,3.199627284850025,0.03917975113651817,22,26,12,11,15,9,13
26,1,0,1.9284754019996069,0.1269194261044705,16,18,7,8,10,6,10
27,0,1,0.45745541801692413,0.6124103572470605,19,22,9,8,14,10,9
28,0,0,3.295305668352831,0.035732584023392966,16,15,2,5,10,4,12
29,1,1,1.8654870066066769,0.865935222380809,30,37,17,10,27,19,11
30,1,1,5.95748352528039,0.9974202598410423,29,37,19,6,31,22,7
31,1,1,4.6312259500008,0.9903511988303088,26,34,17,10,24,17,9
32,1,1,4.7423512246213155,0.9913572249813716,17,22,12,3,19,15,2
33,0,0,3.2002232848622487,0.03915732105696845,22,24,6,9,15,9,13
34,1,1,3.8425339513255565,0.9790107855524385,23,33,18,7,26,17,6
35,1,1,4.1940062529980615,0.9851384705561193,25,31,14,9,22,18,7
36,1,0,0.8213288743349771,0.30548164958743285,26,31,14,9,22,11,15
37,1,1,0.8997629107066467,0.7109007782656869,7,6,1,2,4,5,2
38,0,0,5.401047565925204,0.0044915866295546225,17,16,1,3,13,3,14
39,1,1,6.374197312358557,0.9982979142161961,28,40,20,11,29,21,7
40,0,0,2.362810462164278,0.08605290052907144,13,13,4,5,8,4,9
41,0,0,6.14923770909084,0.0021305597471203974,44,53,27,18,35,13,31
42,0,0,1.2634472414306206,0.22038103963940303,25,29,11,10,19,12,13
43,0,0,2.63646336822792,0.06682825024595418,13,14,5,6,8,5,8
44,0,0,4.045470289060313,0.01720043896879686,14,14,2,5,9,4,10
45,0,0,2.2509276520590555,0.09526947757030912,19,21,6,8,13,8,11
46,0,0,2.698544248740529,0.06305931127847508,21,22,5,9,13,8,13
47,0,0,2.435559385167652,0.0805009973812214,20,20,2,9,11,8,12
48,1,1,4.270154881138003,0.9862131175409786,23,29,11,10,19,14,9
49,0,1,3.0804912079749167,0.9560808151906497,30,34,13,11,23,18,12
50,1,1,5.128978520406387,0.9941122635431221,28,31,10,11,20,17,11
51,0,0,0.9144197341984119,0.2860962750134417,26,28,10,9,19,11,15
52,1,1,1.2110073988265775,0.7704771481233879,15,19,9,6,13,8,7
53,0,0,3.4320975899074906,0.03130725582651872,11,11,4,4,7,2,9
54,0,1,1.7891991629371216,0.8568290634901242,12,11,1,3,8,9,3
55,0,0,5.640275657396677,0.0035393179018260446,20,20,4,7,13,5,15
56,1,1,3.5855803757388265,0.9730271288748529,13,15,6,3,12,11,2
57,0,1,2.24390071424996,0.9041231231901676,13,13,3,3,10,9,4
58,0,0,4.904296925895173,0.0073600818397221435,18,17,1,5,12,5,13
59,1,1,0.6632895553238594,0.6599989538270303,10,9,0,3,6,7,3
60,1,1,7.7788958428492,0.9995817010665707,35,44,18,13,31,24,11
61,0,0,0.1554750968955636,0.46120933328184477,18,19,5,8,11,10,8
62,0,0,3.6289191492591932,0.02585845098107431,21,21,6,6,15,6,15
63,1,0,1.1164719052278382,0.24666629517855276,24,27,8,12,15,12,12
64,0,0,1.6237049105149461,0.16469455132878996,17,17,4,7,10,7,10
65,1,1,3.391361292802727,0.9674334608309145,13,15,5,2,13,11,2
66,0,0,1.9535785620582038,0.1241636764041345,13,12,1,5,7,5,8
67,0,0,0.8344145377476846,0.30271244930862484,7,6,0,2,4,2,5
68,0,0,0.7785503125132904,0.31463241097628525,19,20,5,6,14,8,11
69,1,1,0.022277966719102427,0.5055692613426934,10,9,1,3,6,7,3
70,0,0,3.2362203562185607,0.0378252085728541,15,19,10,6,13,4,11
71,0,0,3.986019190471626,0.018234820214234504,20,19,1,8,11,8,12
72,0,0,3.173051943762077,0.04019251499508081,17,17,4,6,11,7,10
73,1,1,5.941092056357062,0.9973777374444869,26,39,24,10,29,19,7
74,1,1,0.6372654454527797,0.6541350494993916,26,31,16,11,20,14,12
75,0,1,0.6506454600940828,0.6571559008862351,10,9,1,4,5,6,4
76,0,0,3.3150627625621616,0.035058047378919044,16,16,3,6,10,5,11
77,0,0,0.6013981118104414,0.35402389300311743,16,17,9,3,14,6,10
78,1,1,1.8999141197892704,0.8698818053837152,23,29,15,10,19,14,9
79,0,0,4.113687717025826,0.01608444028955225,16,18,8,8,10,4,12
80,0,0,1.4514562770034232,0.1897775447431056,33,40,17,11,29,13,20
81,0,0,2.4241721559702367,0.08134792332384833,20,19,3,6,13,7,13
82,0,0,7.724553265756843,0.0004416490426883968,30,31,10,10,21,9,21
83,0,1,0.6981179328399443,0.6677703616461799,17,17,4,8,9,8,9
84,1,1,1.1170736155073193,0.7534454988049395,13,15,7,4,11,9,4
85,1,0,1.82704972826716,0.13859010973831032,23,31,14,12,19,10,13
86,1,1,5.089831171219203,0.9938786421818685,17,24,13,2,22,15,2
87,0,0,0.7856088377828727,0.31311231389493377,19,20,5,10,10,9,10
88,1,1,4.309548719642514,0.9867386146312283,22,30,18,7,23,17,5
89,1,1,2.507482785746369,0.9246647290406915,26,32,14,11,21,15,11
90,1,1,3.8285162017760666,0.9787207970566013,16,18,6,5,13,12,4
91,1,1,0.5929603198403381,0.6440440918830976,7,7,3,2,5,5,2
92,0,0,0.32571270850067435,0.4192841514083322,28,36,19,12,24,12,16
93,0,0,5.501196615803762,0.004065290025324186,24,24,3,10,14,8,16
94,1,1,1.367995108228595,0.7970560400082725,16,17,5,6,11,11,5
95,0,0,1.2569661402692305,0.2214965963595673,15,14,3,5,9,6,9
96,1,0,6.4324738408943,0.0016058838067997128,28,31,11,13,18,10,18
97,0,1,0.3831878581705226,0.5946417448920297,31,39,20,16,23,17,14
98,0,1,0.206890638954905,0.5515389524430541,15,16,6,7,9,7,8
99,1,1,0.11435300121236791,0.5285571378729703,15,16,6,7,9,8,7
100,1,1,2.370862298711497,0.9145782516302303,20,23,9,8,15,12,8
101,1,0,0.8547553118838043,0.2984362747138327,10,9,1,3,6,4,6
102,1,1,5.1040953928366655,0.9939648155566003,24,32,18,6,26,18,6
103,0,0,3.6364866114869434,0.025668510607081974,18,18,3,7,11,7,11
104,0,0,2.1494659740277315,0.10438113637231305,28,30,11,10,20,10,18
105,1,1,2.0282318085810958,0.8837295165688528,19,23,10,7,16,12,7
106,0,0,0.7934355460990288,0.3114314674940144,20,20,5,9,11,9,11
107,0,0,4.937039760780539,0.007124683703930712,12,12,2,2,10,2,10
108,1,1,3.9574506540668213,0.9812466353175452,18,19,4,6,13,12,6
109,1,1,0.08503900757695515,0.5212469492592776,12,13,6,4,9,7,5
110,0,0,2.4549335343987915,0.07907851709882652,15,14,2,6,8,5,10
111,0,0,3.570163939390075,0.02738044478194046,22,22,6,9,13,7,15
112,1,1,5.904467736748007,0.9972801845700053,32,46,27,12,34,20,12
113,0,0,0.9590704819899565,0.27706433845904643,15,15,3,8,7,7,8
114,0,0,6.860483958168109,0.0010473084201019223,29,29,6,7,22,8,21
115,1,1,6.442137455034345,0.9984095355295616,29,39,21,12,27,19,10
116,0,0,5.232711191212962,0.0053106766649816395,35,40,16,12,28,11,24
117,0,0,2.809585172289762,0.056808403693059284,25,26,6,13,13,11,14
118,1,1,3.5333085845175036,0.9716207851680653,17,18,6,6,12,11,6
119,0,0,2.3645142413046,0.08591899652144142,18,18,8,6,12,7,11
120,0,0,2.787130338011539,0.05802360321569522,30,35,14,13,22,10,20
121,1,1,6.121065765193944,0.9978086981756771,18,21,10,6,15,14,4
122,1,1,5.235797858092594,0.9947056036985549,16,23,14,2,21,15,1
123,0,1,0.13726283436929387,0.5342619311453989,15,19,10,6,13,9,6
124,0,0,3.3663339239188717,0.03336434200147498,9,9,4,1,8,2,7
125,1,1,4.342505410401955,0.9871630236184042,20,23,9,6,17,15,5
126,1,1,1.5420610373515453,0.8237641396811478,9,10,5,4,6,6,3
127,0,0,2.4050060168551197,0.08279175836137531,24,27,11,11,16,8,16
128,1,1,1.7621850461259427,0.8534831106383868,34,52,33,17,35,20,14
129,1,1,2.386532659151514,0.9157945697430833,17,22,12,6,16,12,5
130,0,1,0.5023421829015207,0.6230095947990242,12,11,1,4,7,7,5
131,0,0,3.810509599020534,0.021657466086293264,13,14,6,4,10,3,10
132,0,0,1.6973872620342343,0.15480681182845935,30,35,15,13,22,13,17
133,1,1,4.316153865665691,0.986824769110277,11,10,0,2,8,9,2
134,0,0,6.295292384613413,0.0018415721284716913,19,19,5,7,12,5,14
135,1,1,0.4869847643969587,0.6193958630959068,9,8,1,3,5,6,3
136,0,1,3.8287163832184135,0.9787249657155842,19,22,7,4,18,15,4
137,1,1,3.2919112177891505,0.9641502730838704,21,25,14,8,17,12,9
138,0,0,3.19687099620928,0.0392836426831048,22,21,6,6,15,8,14
139,1,1,0.9387533238100669,0.7188477658647511,35,45,21,17,28,20,15
140,0,0,3.4631994899592726,0.03037765103619361,26,33,18,11,22,11,15
141,0,0,8.149386525807904,0.00028882909931315925,32,33,9,9,24,8,24
142,0,0,4.28206786605654,0.013625838644640509,27,30,11,12,18,9,18
143,1,1,6.428068632871465,0.9983870377719603,20,29,16,2,27,19,1
144,0,0,1.556221650657231,0.1741894842631685,9,8,3,4,4,2,7
145,1,1,3.2283428527581446,0.9618870478012106,10,9,1,2,7,8,2
146,1,1,2.761040322410989,0.9405338458568755,15,18,8,4,14,11,4
147,1,1,0.6942075698479648,0.6669022670705704,14,14,6,4,10,8,6
148,1,1,4.254129375457856,0.9859935154779236,21,28,16,6,22,14,7
149,1,1,8.637509691784919,0.9998227034855303,31,41,22,10,31,23,8
150,1,1,5.264892437483015,0.9948566418088548,19,20,4,3,17,16,3
151,0,1,1.4491284026850098,0.8098642580666454,20,21,7,8,13,11,9
152,0,0,6.0690702794550315,0.002307983842991246,21,22,6,6,16,6,15
153,1,0,0.07341793153676512,0.4816537571908718,14,15,5,9,6,6,8
154,1,1,0.22365276700940573,0.5556812842664224,18,19,4,7,12,10,8
155,0,0,1.3010862247263848,0.21398226387405084,24,27,8,12,15,10,14
156,0,0,4.059258170978652,0.016968905498665254,31,34,8,14,20,14,17
157,1,1,8.422201223970841,0.999780118354153,36,40,13,12,28,24,12
158,0,0,2.4480703564716135,0.07957977484901002,15,14,2,6,8,6,9
159,1,1,4.8316158587286715,0.9920894491817547,14,15,6,2,13,12,2
160,0,0,0.9464836366420601,0.27959254059084004,18,19,5,7,12,6,12
161,1,1,3.3539900753689764,0.9662352532516076,23,27,10,11,16,14,9
162,1,1,7.302287637532914,0.9993264588098647,23,30,16,5,25,18,5
163,0,0,1.9018490035631839,0.12989934674872705,19,18,5,8,10,6,13
164,0,1,2.756815954491178,0.940297137094499,18,17,1,7,10,11,7
165,0,0,0.11090424059664628,0.4723023235754483,26,35,18,11,24,13,13
166,0,0,6.572412855259573,0.0013964663099022001,27,29,9,9,20,6,21
167,0,0,4.322669811895712,0.013090781059468815,19,19,3,5,14,5,14
168,1,1,5.232174336990331,0.9946864866635954,22,29,15,4,25,17,5
169,1,1,1.3212428966100656,0.7893884178056515,12,11,1,4,7,8,4
170,0,0,5.400668283205871,0.0044932828777318745,23,25,8,9,16,7,16
171,1,1,4.786419475889632,0.9917267440819846,19,29,18,5,24,16,3
172,1,1,3.0660920069287947,0.9554722021955007,28,32,9,10,22,17,11
173,0,0,5.5925650903099235,0.003711631923809744,17,16,4,5,11,3,14
174,0,0,1.745855254898549,0.14857073448168168,21,24,9,10,14,10,11
175,1,1,5.380350796429291,0.9954149140435589,27,37,23,8,29,20,7
176,0,0,2.682620319040483,0.06400671401360358,37,41,12,14,27,15,22
177,0,1,1.3266063023001775,0.7902787233142718,9,9,3,1,8,8,1
178,1,1,3.4479552079666593,0.9691701020313456,13,22,16,4,18,11,2
179,0,0,3.997667677478661,0.018027451435028374,17,18,7,6,12,4,13
180,0,0,5.803432251607907,0.0030081052295461985,18,20,6,6,14,5,13
181,0,0,3.7076965647303446,0.023946468688608835,40,51,26,15,36,15,25
182,0,0,2.4776734221104855,0.07743825319064213,17,18,6,6,12,5,12
183,0,0,8.918326136087815,0.00013389427803123244,35,37,13,11,26,9,26
184,0,0,3.9853245996684636,0.01824725915712877,13,12,2,6,6,5,8
185,1,1,4.295405150258404,0.9865522588487468,25,36,20,9,27,15,10
186,1,1,1.1700982446984085,0.7631627734588136,16,19,8,6,13,12,4
187,1,0,0.3159543325118328,0.4216620231899558,9,8,1,3,5,4,5
