,eidx,aidx,type,is_flipped,num_supports,num_sufficient
0,0,0,default,True,8,3
1,0,1,leaf,False,0,0
2,0,5,leaf,False,0,0
3,0,9,leaf,False,0,0
4,0,17,non-leaf,False,1,0
5,0,27,non-leaf,False,1,0
6,0,49,leaf,False,0,0
7,0,52,leaf,False,0,0
8,0,56,leaf,False,0,0
9,0,103,leaf,False,0,0
10,0,180,leaf,False,0,0
11,0,190,leaf,False,0,0
12,0,191,leaf,False,0,0
13,0,195,leaf,False,0,0
14,0,199,leaf,False,0,0
15,1,0,default,False,9,1
16,1,4,non-leaf,False,1,0
17,1,9,leaf,False,0,0
18,1,17,non-leaf,False,1,0
19,1,21,leaf,False,0,0
20,1,26,leaf,False,0,0
21,1,34,leaf,False,0,0
22,1,56,leaf,False,0,0
23,1,67,leaf,False,0,0
24,1,78,leaf,False,0,0
25,1,122,leaf,False,0,0
26,1,143,leaf,False,0,0
27,1,144,leaf,False,0,0
28,1,149,leaf,False,0,0
29,1,154,leaf,False,0,0
30,1,173,leaf,False,0,0
31,2,0,default,False,4,1
32,2,9,leaf,False,0,0
33,2,26,leaf,False,0,0
34,2,27,leaf,False,0,0
35,2,52,non-leaf,False,1,0
36,2,56,leaf,False,0,0
37,2,91,leaf,False,0,0
38,2,100,leaf,False,0,0
39,2,146,leaf,False,0,0
40,2,173,non-leaf,False,0,0
41,3,0,default,True,3,3
42,3,17,leaf,False,0,0
43,3,27,leaf,False,0,0
44,3,39,leaf,False,0,0
45,3,49,non-leaf,False,1,0
46,3,52,leaf,False,0,0
47,3,56,leaf,False,0,0
48,3,173,leaf,False,0,0
49,3,179,leaf,False,0,0
50,4,0,default,False,8,1
51,4,1,leaf,False,0,0
52,4,2,leaf,False,0,0
53,4,3,leaf,False,0,0
54,4,15,leaf,False,0,0
55,4,17,non-leaf,False,2,0
56,4,20,non-leaf,False,1,0
57,4,26,leaf,False,0,0
58,4,29,leaf,False,0,0
59,4,31,non-leaf,False,1,0
60,4,34,leaf,False,0,0
61,4,55,leaf,False,0,0
62,4,56,leaf,False,0,0
63,4,59,leaf,False,0,0
64,4,104,leaf,False,0,0
65,4,110,leaf,False,0,0
66,4,144,leaf,False,0,0
67,4,173,leaf,False,0,0
68,5,0,default,True,7,2
69,5,1,non-leaf,False,1,0
70,5,4,leaf,False,0,0
71,5,5,non-leaf,False,3,0
72,5,6,leaf,False,0,0
73,5,8,non-leaf,False,0,0
74,5,9,non-leaf,False,4,0
75,5,11,leaf,False,0,0
76,5,17,leaf,False,0,0
77,5,27,leaf,False,0,0
78,5,45,non-leaf,False,0,0
79,5,48,leaf,False,0,0
80,5,53,leaf,False,0,0
81,5,56,non-leaf,False,1,0
82,5,85,leaf,False,0,0
83,5,90,leaf,False,0,0
84,5,104,leaf,False,0,0
